Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2531","Potatoes and products","2018","2018","1000 tonnes","1543","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2531","Potatoes and products","2019","2019","1000 tonnes","1494","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2531","Potatoes and products","2020","2020","1000 tonnes","1524","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2010","2010","1000 tonnes","-3405","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2011","2011","1000 tonnes","506","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2012","2012","1000 tonnes","-707","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2013","2013","1000 tonnes","1965","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2014","2014","1000 tonnes","-588","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2015","2015","1000 tonnes","-206","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2016","2016","1000 tonnes","-4684","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2017","2017","1000 tonnes","-1902","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2018","2018","1000 tonnes","-1036","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2019","2019","1000 tonnes","-393","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2531","Potatoes and products","2020","2020","1000 tonnes","437","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2010","2010","1000 tonnes","512","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2011","2011","1000 tonnes","564","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2012","2012","1000 tonnes","482","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2013","2013","1000 tonnes","460","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2014","2014","1000 tonnes","889","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2015","2015","1000 tonnes","560","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2016","2016","1000 tonnes","414","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2017","2017","1000 tonnes","572","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2018","2018","1000 tonnes","550","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2019","2019","1000 tonnes","654","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2531","Potatoes and products","2020","2020","1000 tonnes","679","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2010","2010","1000 tonnes","68960","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2011","2011","1000 tonnes","71686","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2012","2012","1000 tonnes","74101","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2013","2013","1000 tonnes","76450","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2014","2014","1000 tonnes","74656","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2015","2015","1000 tonnes","77249","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2016","2016","1000 tonnes","76129","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2017","2017","1000 tonnes","79625","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2018","2018","1000 tonnes","82866","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2019","2019","1000 tonnes","81719","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2531","Potatoes and products","2020","2020","1000 tonnes","82048","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2010","2010","1000 tonnes","23","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2011","2011","1000 tonnes","21","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2012","2012","1000 tonnes","19","E","Estimated value"
